Grandes Regiões e Unidades da Federação;Rendimento médio real do trabalho principal habitualmente recebido por mês (R$)_Total;Rendimento médio real do trabalho principal habitualmente recebido por mês (R$)_Posição na ocupação (1)_Empregado_Com carteira de trabalho assinada;Rendimento médio real do trabalho principal habitualmente recebido por mês (R$)_Posição na ocupação (1)_Empregado_Sem carteira de trabalho assinada;Rendimento médio real do trabalho principal habitualmente recebido por mês (R$)_Posição na ocupação (1)_Trabalhador doméstico_Com carteira de trabalho assinada;Rendimento médio real do trabalho principal habitualmente recebido por mês (R$)_Posição na ocupação (1)_Trabalhador doméstico_Sem carteira de trabalho assinada;Rendimento médio real do trabalho principal habitualmente recebido por mês (R$)_Posição na ocupação (1)_Militar ou funcionário público estatutário;Rendimento médio real do trabalho principal habitualmente recebido por mês (R$)_Posição na ocupação (1)_Conta própria;Rendimento médio real do trabalho principal habitualmente recebido por mês (R$)_Posição na ocupação (1)_Empregador
Rondônia;2400.222056158163;2075.779900260342;1888.9879016490502;1273.289925499183;1016.7479303239415;4359.92123913713;2193.0253800867968;5096.403905404506
Acre;2293.8596484051814;1873.0144310500907;1952.8789613769322;1371.5398538681218;828.1282563171402;4427.75603664913;1625.2150166966028;6723.575186711284
Amazonas;2034.8274384697768;2359.5026521749237;1645.7974862916055;1322.7629014171384;832.118760953457;5191.125759805302;1247.6044619445152;4876.687048996459
Roraima;2606.103664786434;1851.2310317592853;2270.1324446161666;1357.184278803455;1006.0742702113937;4949.688159212685;2069.9325626287346;6709.289925841981
Pará;1917.1769025534084;2256.3929249340867;1469.7658696398705;1271.6106813247882;726.3458231311369;4671.425078889847;1195.9448485442033;4513.321573137232
Amapá;2387.2539875523084;1889.9853284229407;1653.9482562435549;1317.802075915133;828.1908027464822;5595.409993772519;1389.594960953971;5389.780047897408
Tocantins;2474.8084660896543;2227.408725057523;1659.553278376723;1341.971564715793;729.2346610285649;4700.2195944866;2024.930547034227;8684.824657396683
Maranhão;1671.3235873555855;1893.87742824485;1203.1708593160242;1284.3597705324871;570.5036308235462;3800.2126292626654;1118.479001755197;5313.853501414831
Piauí;1886.3398593495667;2011.7757868348926;1114.3696370226396;1300.9318335861014;544.3196600218298;4812.6393303526975;1174.63016955325;4333.626645424218
Ceará;1813.7488885746193;2164.2053991165862;1243.4791133176295;1318.5743193466735;621.0574131099828;4252.1257663920005;1360.375520325046;3537.5203663781645
Rio Grande do Norte;2213.1550999934616;1763.9232991607719;1359.5940704639863;1423.2408778570846;662.2734758579207;4710.326195187824;1584.0160785121884;7178.833714248334
Paraíba;1923.0105917345552;1844.5418128912897;1314.760513066374;1285.7169301786573;602.5957767085011;3865.1853929992512;1297.9822434428074;12015.020617606857
Pernambuco;1837.1319091857174;2037.8361515646693;1234.0898301069474;1381.2481986553373;613.7679343044888;4158.838517823432;1288.0038972131542;6036.883720020517
Alagoas;1795.617773238158;1765.5992632076982;1279.1234724846809;1357.7484714384;669.9616752141677;3845.436177578265;1346.137730704095;5841.743912859775
Sergipe;1976.84268238577;1731.9161255776462;1447.3230818996908;1324.4410556390199;672.9311601984898;5641.6931154773665;1241.5625254485465;4527.223633850073
Bahia;1689.1621480911065;1999.2842560941763;1215.2451476434621;1316.2100028073974;573.7053323293403;3691.1530820414555;1282.149815443198;3819.2977682672536
Minas Gerais;2354.738978369685;2326.6996157446933;1732.260375848191;1398.9294433220834;893.7204192230347;3931.6213392497566;2082.1831617032512;5851.12996635202
Espírito Santo;2674.6859440655826;2499.210574954684;2136.0510798646937;1404.4932630577532;908.6033016155421;5091.530813198208;2197.6266255659807;7026.484755529214
Rio de Janeiro;3258.096725222922;3241.2303628513105;2370.600451409924;1577.3075962852038;1052.1498372883054;6153.063010879756;2449.95049122922;8402.665554024796
São Paulo;3329.2203960214333;3255.974137847981;2847.595731918855;1664.147661157156;1176.9335193930008;4983.011033283832;2918.917401703205;7446.687701862065
Paraná;2957.1051522660105;2647.0936817868433;2203.0126638345155;1515.5412400616817;1111.2760907628247;4777.911783141413;2895.275928503378;6815.246918962022
Santa Catarina;3107.6696617957023;2695.2904388421266;2437.323896098832;1707.9273022129953;1382.171574005414;5324.638478461276;3083.4694640189973;6813.10813069315
Rio Grande do Sul;3004.4159552613773;2685.633227074052;2136.6518187390493;1444.6678274505744;1146.2965987777716;5015.747073517299;2728.1981402097226;7092.424835355802
Mato Grosso do Sul;3051.4309621617153;2605.0872962089165;2320.521384893771;1418.4830116950452;1023.3310991585581;6024.762386422865;2477.7697082692107;7497.323859053578
Mato Grosso;2932.1815207733885;2570.3613505089897;2369.849842458601;1566.3661022029398;1015.540399829563;4817.787382080364;3031.640630009467;7365.181455695111
Goiás;2588.0012232713216;2334.8074473891297;2057.650266897658;1524.5033441833036;982.465226158569;4672.665315783013;2359.6752064086554;6651.621968848578
Distrito Federal;4487.016529090548;3521.7933586843465;2847.7755904519313;1674.9218637991466;1371.0287563612656;10584.656330608783;2735.7766954192243;7436.9740328754615
