Grandes Regiões, Unidades da Federação e Municípios das Capitais;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Distribuição percentual (%)_Grupos de idade_14 a 29 anos;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Distribuição percentual (%)_Grupos de idade_30 a 49 anos;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Distribuição percentual (%)_Grupos de idade_50 a 59 anos;Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência_Distribuição percentual (%)_Grupos de idade_60 anos ou mais
Rondônia;30.965661471010755;48.311777073848944;14.207274673051197;6.51528678208937
Acre;28.51181470559169;53.085547419913865;13.237087327647556;5.165550546846823
Amazonas;31.266479520975913;49.151917377010655;13.597356299366037;5.984246802646942
Roraima;31.32942008788837;51.149604175193936;12.582167765373196;4.938807971544776
Pará;30.819641071068776;48.07579246924468;14.329491806707763;6.775074652979179
Amapá;27.38854444315341;50.49735304131507;16.516909157599034;5.597193357932631
Tocantins;30.973604103050825;48.02295764367263;13.793891020126507;7.209547233150189
Maranhão;28.716134004375736;51.82613438766222;13.712713176797152;5.745018431164553
Piauí;28.220894739062327;49.862356557524606;15.322813076550773;6.59393562686165
Ceará;28.22376491352341;49.428900664697444;15.183358723716726;7.1639756980626075
Rio Grande do Norte;24.346458228391356;54.1585237744337;15.498404977770935;5.996613019404114
Paraíba;25.854566881578965;54.147361397314796;14.901098671103442;5.096973050002909
Pernambuco;27.238713939584958;52.452148920709746;14.712487631087967;5.596649508617445
Alagoas;29.759752711812826;51.389386529449716;13.974643554173865;4.876217204563639
Sergipe;27.401693705100826;51.738476325068724;15.203553949717445;5.656276020112935
Bahia;27.27307510524537;50.97695637467249;15.452599693262806;6.29736882681953
Minas Gerais;27.691817359162982;48.53785897186767;16.072506569348405;7.697817099620707
Espírito Santo;25.879253838517243;50.64575448494161;15.582433131217133;7.892558545324517
Rio de Janeiro;23.13923341339982;50.53905085792262;17.30195912495531;9.019756603722042
São Paulo;26.1685150930259;49.99043764601974;16.332758605028182;7.508288655926296
Paraná;28.659186533369066;49.57535007511135;15.504596416460876;6.260866975058071
Santa Catarina;28.84168065896656;51.89356081350377;13.94663964679096;5.318118880739627
Rio Grande do Sul;25.505882155145148;49.48962810590254;16.31439081177069;8.690098927181758
Mato Grosso do Sul;29.056568933883298;49.29196180741032;14.427268688528171;7.224200570178228
Mato Grosso;30.54724485725266;49.80665769111494;13.872954258289916;5.7731431933415935
Goiás;28.925053540790824;48.76131544958367;15.691057010305295;6.622573999320522
Distrito Federal;25.503353636536907;53.89557728320385;15.051805233679868;5.549263846579326
