Grandes Regiões, Unidades da Federação e Municípios das Capitais;Taxa de desocupação das pessoas de 14 anos ou mais de idade (%)_Grupos de idade_14 a 29 anos;Taxa de desocupação das pessoas de 14 anos ou mais de idade (%)_Grupos de idade_30 a 49 anos;Taxa de desocupação das pessoas de 14 anos ou mais de idade (%)_Grupos de idade_50 anos ou mais
Rondônia;8.579660208938165;2.56386007981839;1.136966748436509
Acre;22.020782224753315;8.743212475365757;4.944576394384805
Amazonas;21.398866709958366;10.245229879326256;4.583990398576045
Roraima;7.311652728414475;4.046332657310389;2.90469002404893
Pará;15.581792700721278;7.835373606028533;4.605311690129761
Amapá;25.51313055065493;9.254791126018587;5.632269165075305
Tocantins;12.955435912567749;5.763513205940484;3.384870873133263
Maranhão;19.832406660119652;8.61236216606294;4.2819805374100675
Piauí;17.259801150515194;7.5315173751107;5.227720852208593
Ceará;16.547263390230892;7.115597548464929;4.492982076940455
Rio Grande do Norte;22.71765835705789;8.616389256852807;5.601144816355917
Paraíba;21.691757009600867;9.444468523134836;6.217763350275985
Pernambuco;25.64637511622705;12.539202801601293;8.834719939532096
Alagoas;20.282935267218495;8.775895215319931;5.398939435849413
Sergipe;24.543953546417967;8.628541820107872;5.516421120380941
Bahia;26.479465890830735;10.670475699336626;7.671279984883776
Minas Gerais;14.075289329328905;5.349411398805406;4.305625861419715
Espírito Santo;15.283155873140782;6.365349940686128;4.881778425762835
Rio de Janeiro;24.47525874899316;9.574956135660136;8.51829559431189
São Paulo;16.32249372517236;6.659219073793879;5.131585302091622
Paraná;10.76735222795913;4.28747349937657;3.1421794697965435
Santa Catarina;7.143056436778729;2.6584152191354344;1.8296860522373253
Rio Grande do Sul;12.023358798397089;4.715178351904307;3.4840574232692334
Mato Grosso do Sul;7.8931400849274045;3.0804437783638505;4.936864198182614
Mato Grosso;7.563566693687597;2.7394280205856467;1.4656883133556988
Goiás;14.549288269061385;4.982814239794741;3.864891172685847
Distrito Federal;23.198394979323453;6.772584018705881;5.252874812417294
