;Grupos de idade_14 a 29 anos;Grupos de idade_30 a 49 anos;Grupos de idade_50 anos ou mais
Rondônia;17.01010554665603;7.493883375088697;5.128984021400946
Acre;39.79674385315999;19.762702163757965;14.366134664438482
Amazonas;37.71605756526848;19.309453235791036;13.577559820292828
Roraima;17.276292535648317;9.86691160827927;9.85312751329339
Pará;34.154084623329936;22.44323235555679;18.40122577980767
Amapá;40.305554245109214;16.90806121742938;11.92647518423311
Tocantins;28.53273001942382;14.608174998933366;12.56364513780209
Maranhão;47.2084767027057;28.961594156520732;20.97544310958661
Piauí;55.961715993204685;37.89528193777839;30.79377102013626
Ceará;38.15727316073081;23.136203883680913;20.13992544052429
Rio Grande do Norte;44.66789818668282;24.50015219641224;21.361254978547763
Paraíba;44.07853123933299;26.21016087375219;22.923810239275024
Pernambuco;43.62932882589804;27.49238210106426;24.938895486445503
Alagoas;47.46866912552293;29.683564517360477;23.995882623091074
Sergipe;50.85052503183357;30.47631925801885;23.325301250175063
Bahia;47.091439382171416;28.942310510365733;24.768628048422574
Minas Gerais;26.605573017873503;13.797593161942942;14.502670117748625
Espírito Santo;24.231465338196276;11.43776747077975;13.298870479865554
Rio de Janeiro;33.556670454749444;15.545095918315948;15.53889573389718
São Paulo;25.430323019564437;12.708920710758147;15.438260981141722
Paraná;19.154740524017324;9.806990820394867;10.068629823106948
Santa Catarina;11.08046673782527;5.067473187498983;4.808854715312302
Rio Grande do Sul;21.891010705480547;10.304671735417827;11.256546115607449
Mato Grosso do Sul;16.88058048190436;8.755393932929646;11.116065703200881
Mato Grosso;16.178538721541177;7.73089616303247;8.35060686453763
Goiás;21.84585720494789;11.268071047442131;10.533400307966845
Distrito Federal;36.08628839897829;14.367161941487593;14.732012508996053
