Grandes Regiões, Unidades da Federação e Municípios das Capitais;Índice de Gini
Rondônia;0.4708819602602434
Acre;0.5752566443690088
Amazonas;0.5632145493069374
Roraima;0.5779385258614602
Pará;0.5654964226731369
Amapá;0.57780231965079
Tocantins;0.5452913376717838
Maranhão;0.5648541479296385
Piauí;0.5853549892779204
Ceará;0.5882486724185148
Rio Grande do Norte;0.5761805235816619
Paraíba;0.6245371639829382
Pernambuco;0.580104172151775
Alagoas;0.5783961373587645
Sergipe;0.5882597323564109
Bahia;0.578266533155968
Minas Gerais;0.4910741540774999
Espírito Santo;0.5145655186670244
Rio de Janeiro;0.5580908521154582
São Paulo;0.5121142772917002
Paraná;0.4841302284926492
Santa Catarina;0.4269553823542038
Rio Grande do Sul;0.4809634371145168
Mato Grosso do Sul;0.5026281965207966
Mato Grosso;0.4687591239404494
Goiás;0.4790578578460913
Distrito Federal;0.5480193375163678
