,"Grandes Regiões, Unidades da Federação, Regiões Metropolitanas das Capitais e Municípios das Capitais","Pessoas_Total_Total
(1 000 pessoas)",Pessoas_Total_Em domicílios próprios sem documentação de propriedade (%),"Pessoas_Condição de ocupação do domicílio_Próprio_Total
(1 000 pessoas)",Pessoas_Condição de ocupação do domicílio_Próprio_Em domicílios próprios sem documentação de propriedade (%)
0,Brasil,214153.64104347018,9.610998053642998,151611.1763675858,13.575715699607825
1,Rondônia,1822.8120003035845,7.1096962172393425,1211.4239853655815,10.697856192261286
2,Acre,901.8340001875226,10.373844245482688,724.3948283289694,12.91489818447085
3,Amazonas,4162.566000393552,14.156480786727156,3356.557599056564,17.55586903219486
4,Roraima,597.803000256699,15.934878166590941,392.2113433130888,24.287716658691323
5,Pará,8819.337001178223,17.832366543925566,7086.684535810636,22.192274720949634
6,Amapá,884.4900180139189,16.734610026705866,736.4525158580569,20.098506292332086
7,Tocantins,1610.5970004762914,5.542205201607995,1083.588119834156,8.237686359186156
8,Maranhão,7155.763000716515,27.986118980328477,5956.998337095772,33.61794370262028
9,Piauí,3295.812000262117,23.244020240035525,2723.9689943812946,28.12363907205351
10,Ceará,9289.534001061756,19.00295936584272,6690.798232401864,26.383793236344527
11,Rio Grande do Norte,3586.9720012367366,8.150231365784379,2591.9331261878456,11.279091816565376
12,Paraíba,4058.076000361184,13.812260934611015,2920.5029760980838,19.192312101102033
13,Pernambuco,9672.573001046652,13.282469993297365,7044.467157108666,18.237811005298774
14,Alagoas,3371.3970003200598,8.714098610063088,2408.9790935263336,12.195492270318768
15,Sergipe,2357.484000202849,8.482352975133859,1596.7734867326328,12.523386434646666
16,Bahia,15017.041001784968,13.023603055747897,11680.93492297865,16.74317872402518
17,Minas Gerais,21515.214002115317,7.654313879390587,15069.659290248432,10.928196715171778
18,Espírito Santo,4147.996000498903,8.394421141277256,2841.388629567945,12.254580368971274
19,Rio de Janeiro,17555.50900414592,7.38902871550966,12513.705557405223,10.366086971757289
20,São Paulo,46990.78500425338,5.720209122350569,30768.469277445038,8.7361225098315
21,Paraná,11662.265001120697,5.272390499897201,7884.806359977595,7.798291092004228
22,Santa Catarina,7410.516000702245,4.129688675844098,5230.297306409292,5.851125130642213
23,Rio Grande do Sul,11489.431001000605,8.012260434052306,8724.628889019945,10.55131565939111
24,Mato Grosso do Sul,2796.503000309155,5.233488481971253,1787.2384336901955,8.18887170622083
25,Mato Grosso,3551.651000351492,7.824316444049144,2311.416929330092,12.022600065332174
26,Goiás,7299.666000900365,4.756858014349091,4552.778547850096,7.62687540224244
27,Distrito Federal,3130.014000274083,4.804281149546085,1720.1178925626934,8.742114319227587
